Date,Open,High,Low,Close,Adj Close,Volume
7/20/2018,179.570007,180.169998,178.789993,178.990005,172.824707,35897300
7/19/2018,179.279999,179.880005,178.820007,179.029999,172.863358,31094100
7/18/2018,180.289993,180.440002,179.380005,179.929993,173.732346,23220800
7/17/2018,177.279999,180.649994,177.279999,180.270004,174.060638,31034100
7/16/2018,179.649994,179.949997,178.880005,179.179993,173.008163,21405300
7/13/2018,179.449997,179.899994,178.949997,179.610001,173.42337,28049800
7/12/2018,177.199997,179.460007,177.080002,179.460007,173.278549,27930100
7/11/2018,175.929993,177.070007,175.800003,176.419998,170.343246,30280600
7/10/2018,177.520004,177.720001,176.710007,177.320007,171.212265,23902500
7/9/2018,176.520004,177.229996,175.820007,177.190002,171.086777,27362100
7/6/2018,173.320007,175.740005,173,175.610001,169.561142,37005600
7/5/2018,171.910004,173.059998,171.029999,172.919998,166.963837,31626200
7/3/2018,173.449997,173.449997,170.630005,170.800003,164.91684,25512700
7/2/2018,170.039993,172.850006,169.669998,172.800003,166.847977,31770000
6/29/2018,172.009995,172.919998,171.399994,171.649994,165.737564,36408500
6/28/2018,169.520004,171.770004,169.169998,171.190002,165.293396,46407700
6/27/2018,172.800003,173.580002,169.610001,169.729996,163.883698,52843500
6/26/2018,172,173.059998,171.369995,172.070007,166.143097,39008100
6/25/2018,173.729996,173.990005,169.809998,171.369995,165.467194,77799700
6/22/2018,176.300003,176.369995,174.690002,175.320007,169.281158,30073200
6/21/2018,177.699997,177.880005,175.369995,175.710007,169.6577,43469400
6/20/2018,176.809998,177.979996,176.649994,177.25,171.144669,33038000
6/19/2018,174.270004,176.039993,173.710007,176,169.937729,38236000
6/18/2018,175.490005,176.649994,174.940002,176.5,170.420502,31633200
6/15/2018,176.929993,177.330002,176.110001,176.979996,170.519012,49615700
6/14/2018,176.630005,177.889999,176.5,177.600006,171.116348,35916000
6/13/2018,176.100006,177.139999,175.429993,175.820007,169.401337,37858600
6/12/2018,175.149994,176,174.960007,175.830002,169.41098,22511800
6/11/2018,174.309998,175.339996,174.279999,174.910004,168.524551,22319700
